date,lastSyncTime,steps,distance,runDistance,calories
2019-11-12,1573584547,7645,5492,301,192
2019-11-13,1573701126,6339,4405,212,152
2019-11-14,1573757887,4086,2765,140,90
2019-11-15,1573876146,8583,5911,256,198
2019-11-16,1573970601,2809,1836,82,57
2019-11-17,1574041905,8895,5971,399,198
2019-11-18,1574102538,7928,5472,263,186
2019-11-19,1574189528,7073,5013,160,168
2019-11-20,1574274846,7992,5567,195,182
2019-11-21,1574394606,6021,4298,117,146
2019-11-22,1574447526,8370,5837,551,203
2019-11-23,1574533927,4518,3188,250,121
2019-11-24,1574653865,11330,7670,459,259
2019-11-25,1574707867,6350,4486,288,155
2019-11-26,1574825940,5177,3706,291,132
2019-11-27,1574882286,4735,3388,119,121
2019-11-28,1574965866,5389,3720,165,129
2019-11-29,1575091626,5937,4115,308,141
2019-11-30,1575140226,6395,4589,253,160
2019-12-01,1575225308,5789,4171,301,154
2019-12-02,1575339245,7175,4686,317,152
2019-12-03,1575427439,7674,5011,504,169
2019-12-04,1575485225,11826,7765,470,254
2019-12-05,1575610625,9207,5965,433,197
2019-12-06,1575657245,5355,3452,372,125
2019-12-07,1575743408,8027,5195,553,177
2019-12-08,1575830536,7551,4940,560,173
2019-12-09,1575917225,5718,3683,326,129
2019-12-10,1576003026,14091,9135,461,294
2019-12-11,1576089546,11256,7339,356,239
2019-12-12,1576175886,7685,5009,450,175
2019-12-13,1576263366,9496,6148,432,202
2019-12-14,1576349286,7583,5002,325,167
2019-12-15,1576435817,15114,9860,803,330
2019-12-16,1576523166,7896,5105,517,175
2019-12-17,1576640789,5277,3404,484,119
2019-12-18,1576726443,3276,2105,350,84
2019-12-19,1576809468,7663,5124,421,180
2019-12-20,1576867268,8208,5315,491,184
2019-12-21,1576953846,8683,5623,523,191
2019-12-22,1577076546,9980,6674,579,236
2019-12-23,1577166186,9778,6476,581,223
2019-12-24,1577246047,7930,5159,536,182
2019-12-25,1577334127,7459,4821,505,159
2019-12-26,1577422446,5213,3387,467,121
2019-12-27,1577500572,5059,3266,442,119
2019-12-28,1577557867,5456,3581,720,137
2019-12-29,1577680800,13065,8916,629,307
2019-12-30,1577732407,4055,2625,408,101
2019-12-31,1577817967,9691,6699,1075,249
2020-01-01,1577935385,2758,1775,353,67
2020-01-02,1578022528,3868,2486,430,87
2020-01-03,1578112205,6481,4239,479,151
2020-01-04,1578195725,6111,4085,382,143
2020-01-05,1578249785,15954,11825,4567,517
2020-01-06,1578336366,6932,4516,537,161
2020-01-07,1578451815,12348,9202,3919,408
2020-01-08,1578510905,5019,3231,482,123
2020-01-09,1578616118,2664,1727,190,64
2020-01-10,1578724273,9640,6453,1283,231
2020-01-11,1578791525,5278,3426,177,115
2020-01-12,1578887651,18398,12047,888,389
2020-01-13,1578977764,5198,3344,428,122
2020-01-14,1579027026,8251,5372,771,184
2020-01-15,1579170486,44996,30807,5132,1004
2020-01-16,1579201086,26477,18117,3632,602
2020-01-17,1579328189,11319,7861,3111,295
2020-01-18,1579407245,3497,2248,245,82
2020-01-19,1579491713,7420,4895,379,170
2020-01-20,1579578306,6791,4386,466,157
2020-01-21,1579631897,2502,1609,210,60
2020-01-22,1579718580,5895,3811,491,129
2020-01-23,1579804800,6550,4235,412,141
2020-01-24,1579891200,6654,4388,476,147
2020-01-25,1580018580,9614,6197,610,218
2020-01-26,1580096774,7683,4966,560,171
2020-01-27,1580178900,7390,5199,1362,192
2020-01-28,1580275020,10046,6940,1464,257
2020-01-29,1580348403,9562,6241,828,214
2020-01-30,1580410679,12247,8037,381,256
2020-01-31,1580497140,11986,7869,676,258
2020-02-01,1580604849,12414,8640,1498,329
2020-02-02,1580695892,15721,11409,3790,482
2020-02-03,1580779032,8953,5769,648,188
2020-02-04,1580876470,6718,4326,408,141
2020-02-05,1580961659,8761,5657,498,188
2020-02-06,1581050373,8097,5461,371,196
2020-02-07,1581132059,3417,2197,411,86
2020-02-08,1581186599,8208,5349,447,183
2020-02-09,1581273300,8471,5491,515,185
2020-02-10,1581407471,6602,4250,391,144
2020-02-11,1581446640,8329,5824,2005,243
2020-02-12,1581572230,9818,6361,523,212
2020-02-13,1581620339,9221,6031,533,209
2020-02-14,1581740165,7456,4992,463,179
2020-02-15,1581791759,13469,8911,507,293
2020-02-16,1581879420,10727,7001,657,238
2020-02-17,1581964859,8735,6042,1102,221
2020-02-18,1582088590,9282,6364,1393,245
2020-02-19,1582138319,12459,8156,530,269
2020-02-20,1582266572,5970,3912,408,139
2020-02-21,1582345979,5583,3641,316,129
2020-02-22,1582397641,8453,5452,492,182
2020-02-23,1582516813,5281,3418,321,121
2020-02-24,1582570620,9499,6217,582,211
2020-02-25,1582709240,22865,14944,1326,480
2020-02-26,1582778101,6530,4251,247,141
2020-02-27,1582828622,3720,2399,259,83
2020-02-28,1582915441,10523,6869,531,225
2020-02-29,1583002741,21273,14772,4220,539
2020-03-01,1583117097,11582,7590,497,249
2020-03-02,1583176379,17838,11930,1371,385
2020-03-03,1583260740,5300,3406,283,121
2020-03-04,1583351160,4549,2935,350,107
2020-03-05,1583467557,6584,4319,490,153
2020-03-06,1583520900,7274,4953,1016,190
2020-03-07,1583606640,7422,4791,474,165
2020-03-08,1583693699,25372,17475,545,578
2020-03-09,1583816385,13739,9660,726,337
2020-03-10,1583902742,8768,5710,641,192
2020-03-11,1583954820,8986,6126,1187,225
2020-03-12,1584038941,7262,4829,432,168
2020-03-13,1584171107,3904,2545,156,84
2020-03-14,1584211800,6405,4134,408,143
2020-03-15,1584368971,7049,4703,463,166
2020-03-16,1584384791,5135,3301,371,112
2020-03-17,1584503582,5230,3374,385,118
2020-03-18,1584586939,6093,4111,317,148
2020-03-19,1584644342,5172,3352,237,112
2020-03-20,1584730141,3141,2023,245,80
2020-03-21,1584884138,5629,3630,447,133
2020-03-22,1584902041,6718,4369,448,150
2020-03-23,1584988620,5517,3554,397,131
2020-03-24,1585105031,4060,2616,285,100
2020-03-25,1585191396,8829,5749,648,190
2020-03-26,1585276256,6472,4374,279,151
2020-03-27,1585334821,7907,5258,346,176
2020-03-28,1585450740,6821,4575,523,161
2020-03-29,1585506901,9154,6006,523,207
2020-03-30,1585593301,5010,3240,351,121
2020-03-31,1585722085,5106,3411,375,131
2020-04-01,1585795028,3382,2180,314,82
2020-04-02,1585852380,7526,4878,346,162
2020-04-03,1585943700,2128,1367,231,57
2020-04-04,1586029800,7875,5201,335,178
2020-04-05,1586111652,7199,4658,455,159
2020-04-06,1586232900,8532,5746,823,201
2020-04-07,1586284680,6285,4074,407,143
2020-04-08,1586372471,9633,6532,994,236
2020-04-09,1586458141,5624,3647,382,131
2020-04-10,1586578560,7478,4857,295,171
2020-04-11,1586662741,5078,3282,407,115
2020-04-12,1586717101,10667,6923,483,231
2020-04-13,1586842201,6315,4197,386,153
2020-04-14,1586923153,3090,1986,406,82
2020-04-15,1586980863,4108,2673,449,103
2020-04-16,1587098807,7359,4832,489,164
2020-04-17,1587149461,3674,2379,301,87
2020-04-18,1587234601,14179,9604,534,318
2020-04-19,1587352216,8434,5451,632,192
2020-04-20,1587444901,5582,3666,358,133
2020-04-21,1587494462,7515,4861,405,170
2020-04-22,1587610811,3396,2188,354,82
2020-04-23,1587667862,5622,3626,439,131
2020-04-24,1587753662,5229,3368,396,126
2020-04-25,1587842282,5005,3262,220,109
2020-04-26,1587926042,5586,3633,298,126
2020-04-27,1588012504,3895,2526,229,87
2020-04-28,1588132743,5442,3597,417,120
2020-04-29,1588185062,7756,5137,123,172
2020-04-30,1588271883,4479,2905,256,102
2020-05-01,1588358883,6790,4454,396,148
2020-05-02,1588456333,1852,1194,133,47
2020-05-03,1588566562,7433,4841,371,165
2020-05-04,1588652268,2812,1816,268,71
2020-05-05,1588735144,4429,2858,259,102
2020-05-06,1588822383,9598,6383,318,218
2020-05-07,1588908244,8537,5836,268,199
2020-05-08,1588986781,8496,5526,447,191
2020-05-09,1589074734,7349,4881,384,166
2020-05-10,1589138113,11064,7213,659,248
2020-05-11,1589260801,6780,4490,452,159
2020-05-12,1589350821,8541,5726,364,200
2020-05-13,1589426864,6243,4038,419,138
2020-05-14,1589517062,2494,1608,165,56
2020-05-15,1589601962,6349,4113,450,143
2020-05-16,1589654042,5851,3824,383,133
2020-05-17,1589740862,8727,5812,202,191
2020-05-18,1589829662,6235,4026,325,141
2020-05-19,1589913482,6432,4175,429,142
2020-05-20,1590027782,6295,4117,349,143
2020-05-21,1590105938,8472,5527,520,192
2020-05-22,1590195781,5423,3507,387,125
2020-05-23,1590258841,23235,15651,360,500
2020-05-24,1590380222,14802,9864,916,339
2020-05-25,1590462852,3731,2410,332,89
2020-05-26,1590550802,3935,2539,248,89
2020-05-27,1590605642,4630,3041,274,103
2020-05-28,1590997233,12,8,7,1
2020-05-29,1590997232,0,0,0,0
2020-05-30,1590997233,0,0,0,0
2020-05-31,1590997233,0,0,0,0
2020-06-01,1591070161,3226,2076,177,75
2020-06-02,1591123742,4624,2971,422,111
2020-06-03,1591239781,9047,6241,1164,233
2020-06-04,1591326539,3955,2568,264,88
2020-06-05,1591382459,9146,5948,389,201
2020-06-06,1591493339,10490,7142,409,240
2020-06-07,1591555440,16010,10738,835,348
2020-06-08,1591675200,7315,4884,761,178
2020-06-09,1591728720,5505,3581,389,124
2020-06-10,1591815300,9638,6267,486,210
2020-06-11,1591903620,16403,11183,466,364
2020-06-12,1591987080,15152,10088,613,334
2020-06-13,1592076901,15695,10381,792,345
2020-06-14,1592190000,13859,9143,510,300
2020-06-15,1592274961,5193,3368,359,117
2020-06-16,1592332622,5069,3259,343,111
2020-06-17,1592448721,4727,3049,299,104
