type,startTime,sportTime,distance,maxPace,minPace,avgPace,calories
6,1614628626,796,2.326,0.462,1006.0,0.791,71.0
1,1614622541,2992,4.652,0.401,3008.0,0.994,267.0
6,1614622145,384,2.326,0.462,404.0,0.948,24.0
16,1614441361,9118,0.0,1.8000001,0.0,0.0,730.0
6,1614189070,4180,3.101,0.47,4688.0,0.891,395.0
6,1613848232,5556,4.652,0.445,4432.0,1.253,319.0
6,1613669969,3434,3.101,0.454,3008.0,1.141,279.0
16,1612290854,1323,0.0,1.8000001,0.0,0.0,81.0
16,1612261084,912,0.0,1.8000001,0.0,0.0,60.0
6,1612020609,2678,3.0674846,0.47641733,3185.0,0.84074694,298.0
6,1611682250,2529,3.101,0.501,3113.0,0.812,247.0
16,1611645495,892,0.0,1.8000001,0.0,0.0,70.0
16,1611489423,10023,0.0,1.8000001,0.0,0.0,906.0
16,1611421201,5771,0.0,1.8000001,0.0,0.0,491.0
16,1611397353,2332,0.0,1.8000001,0.0,0.0,200.0
16,1611225271,2532,0.0,1.8000001,0.0,0.0,181.0
16,1610887279,13727,0.0,1.8000001,0.0,0.0,1190.0
6,1610543350,11382,4.652,0.407,7641.0,1.489,625.0
6,1610374903,5173,6.849315,0.43840423,4535.0,1.1404065,424.0
6,1610099410,2105,6.802721,0.5227392,2492.0,0.8442996,225.0
6,1609951569,2218,4.652,0.496,2567.0,0.863,175.0
6,1609869202,8398,9.090909,0.07617887,5858.0,1.4333603,372.0
6,1609689978,1169,2.326,0.547,1495.0,0.781,135.0
6,1609588982,9756,9.90099,0.4022526,3958.0,2.464356,611.0
6,1609343791,1967,3.8910506,0.509165,2514.0,0.78241813,230.0
6,1609265061,15099,9.615384,0.27434844,9251.0,1.6321058,938.0
6,1608927029,3533,9.615384,0.38789758,2345.0,1.506172,176.0
16,1608512118,1471,0.0,1.8000001,0.0,0.0,84.0
6,1608483446,6583,9.90099,0.26191723,5616.0,1.1718135,502.0
16,1608231380,1653,0.0,1.8000001,0.0,0.0,146.0
8,1608230040,1327,4.238,0.437,1435.0,0.924,145.0
16,1608229758,267,0.0,1.8000001,0.0,0.0,19.0
16,1608142944,4728,0.0,1.8000001,0.0,0.0,352.0
16,1608056287,4073,0.0,1.8000001,0.0,0.0,286.0
16,1607706524,4091,0.0,1.8000001,0.0,0.0,360.0
16,1607619466,4242,0.0,1.8000001,0.0,0.0,384.0
16,1607534545,3988,0.0,1.8000001,0.0,0.0,380.0
16,1607447640,4028,0.0,1.8000001,0.0,0.0,352.0
16,1607364892,6843,0.0,1.8000001,0.0,0.0,555.0
8,1607104510,1594,6.585,0.443,1277.0,1.247,87.0
16,1607101688,2801,0.0,1.8000001,0.0,0.0,260.0
16,1607015465,5210,0.0,1.8000001,0.0,0.0,448.0
6,1607014489,967,3.101,0.484,1036.0,0.933,81.0
16,1606932822,4621,0.0,1.8000001,0.0,0.0,461.0
16,1606843281,3860,0.0,1.8000001,0.0,0.0,340.0
6,1606756885,2352,3.0674846,0.42283297,2442.0,0.9623454,218.0
6,1606725960,1943,4.9261084,0.44782802,2504.0,0.77577525,215.0
6,1605803324,4145,3.101,0.411,4061.0,1.02,308.0
1,1605713594,1823,3.101,0.433,1824.0,0.999,156.0
16,1605201857,1887,0.0,1.8000001,0.0,0.0,215.0
16,1605117236,1815,0.0,1.8000001,0.0,0.0,181.0
6,1604160547,12391,4.652,0.435,6620.0,1.871,524.0
6,1604070590,10944,4.652,0.415,10829.0,1.01,997.0
